"","participant","workerId","browser","beginhit","feedback","cheated","NumQuizTries","LastQuizScore","trial.number","stimulus","t.time","glyphs","moves","isTestTrial","RawOrder","ShortRawOrder","IsTransitive","RawComplete","CleanOrder","CleanComplete","WithAlmost","UsableOneMistk","PassesPractice","Animacy","CleanVLat","UsableVLat"
"1.7",1,"debugYCWDFI","chrome","2015-09-23 22:33:42.206700","none",0,"1","1",7,"girl-throwing-oldlady.mp4",11246,"S:g6 O:g9 V:g3","[{""src"":""g6.png"",""x"":657,""y"":57},{""src"":""g3.png"",""x"":657,""y"":57},{""src"":""g9.png"",""x"":657,""y"":57}]",1,"SVO","SVO",1,1,"SVO",1,"SVO",1,1,"animate",0,0
"1.8",1,"debugYCWDFI","chrome","2015-09-23 22:33:42.206700","none",0,"1","1",8,"oldlady-rubbing-fireman.mp4",14490,"S:g9 O:g2 V:g15","[{""src"":""g9.png"",""x"":657,""y"":57},{""src"":""g15.png"",""x"":657,""y"":57},{""src"":""g2.png"",""x"":657,""y"":57}]",1,"SVO","SVO",1,1,"SVO",1,"SVO",1,1,"animate",0,0
"1.9",1,"debugYCWDFI","chrome","2015-09-23 22:33:42.206700","none",0,"1","1",9,"fireman-pushing-boy.mp4",12144,"S:g2 O:g7 V:g4","[{""src"":""g2.png"",""x"":657,""y"":57},{""src"":""g4.png"",""x"":657,""y"":57},{""src"":""g7.png"",""x"":657,""y"":57}]",1,"SVO","SVO",1,1,"SVO",1,"SVO",1,1,"animate",0,0
"1.10",1,"debugYCWDFI","chrome","2015-09-23 22:33:42.206700","none",0,"1","1",10,"boy-lifting-girl.mp4",10585,"S:g7 O:g6 V:g11","[{""src"":""g7.png"",""x"":657,""y"":57},{""src"":""g11.png"",""x"":657,""y"":57},{""src"":""g6.png"",""x"":657,""y"":57}]",1,"SVO","SVO",1,1,"SVO",1,"SVO",1,1,"animate",0,0
"1.11",1,"debugYCWDFI","chrome","2015-09-23 22:33:42.206700","none",0,"1","1",11,"boy-kicking-ball.mp4",10286,"S:g7 O:g5 V:g16","[{""src"":""g7.png"",""x"":657,""y"":57},{""src"":""g16.png"",""x"":657,""y"":57},{""src"":""g5.png"",""x"":657,""y"":57}]",1,"SVO","SVO",1,1,"SVO",1,"SVO",1,1,"inanimate",0,0
"1.12",1,"debugYCWDFI","chrome","2015-09-23 22:33:42.206700","none",0,"1","1",12,"oldlady-elbowing-heart.mp4",12239,"S:g9 O:g10 V:g1","[{""src"":""g9.png"",""x"":657,""y"":57},{""src"":""g15.png"",""x"":657,""y"":57},{""src"":""g10.png"",""x"":657,""y"":57}]",1,"SVO","SVO",1,1,"SVO",1,"SVO",1,1,"inanimate",0,0
"1.13",1,"debugYCWDFI","chrome","2015-09-23 22:33:42.206700","none",0,"1","1",13,"fireman-throwing-ball.mp4",8443,"S:g2 O:g5 V:g3","[{""src"":""g2.png"",""x"":657,""y"":57},{""src"":""g3.png"",""x"":657,""y"":57},{""src"":""g5.png"",""x"":657,""y"":57}]",1,"SVO","SVO",1,1,"SVO",1,"SVO",1,1,"inanimate",0,0
"1.14",1,"debugYCWDFI","chrome","2015-09-23 22:33:42.206700","none",0,"1","1",14,"fireman-kicking-girl.mp4",12678,"S:g2 O:g6 V:g16","[{""src"":""g2.png"",""x"":657,""y"":57},{""src"":""g16.png"",""x"":657,""y"":57},{""src"":""g6.png"",""x"":657,""y"":57}]",1,"SVO","SVO",1,1,"SVO",1,"SVO",1,1,"animate",0,0
"1.15",1,"debugYCWDFI","chrome","2015-09-23 22:33:42.206700","none",0,"1","1",15,"girl-kissing-boy.mp4",11114,"S:g6 O:g7 V:g12","[{""src"":""g6.png"",""x"":657,""y"":57},{""src"":""g12.png"",""x"":657,""y"":57},{""src"":""g7.png"",""x"":657,""y"":57}]",1,"SVO","SVO",1,1,"SVO",1,"SVO",1,1,"animate",0,0
"1.16",1,"debugYCWDFI","chrome","2015-09-23 22:33:42.206700","none",0,"1","1",16,"girl-pushing-car.mp4",12766,"S:g6 O:g14 V:g4","[{""src"":""g6.png"",""x"":657,""y"":57},{""src"":""g4.png"",""x"":657,""y"":57},{""src"":""g14.png"",""x"":657,""y"":57}]",1,"SVO","SVO",1,1,"SVO",1,"SVO",1,1,"inanimate",0,0
